,HallwayType,TimeToSubway,SubwayStation,N_FacilitiesNearBy(ETC),N_FacilitiesNearBy(PublicOffice),N_SchoolNearBy(University),N_Parkinglot(Basement),YearBuilt,N_FacilitiesInApt,Size(sqf),SalePrice,AptAge
0,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007.0,10.0,1387.0,346017,8.0
1,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986.0,4.0,914.0,150442,29.0
2,mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997.0,5.0,558.0,61946,18.0
3,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005.0,7.0,914.0,165486,10.0
4,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006.0,5.0,1743.0,311504,9.0
5,mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997.0,5.0,558.0,118584,18.0
6,terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007.0,5.0,1334.0,326548,8.0
7,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005.0,7.0,572.0,143362,10.0
8,terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009.0,5.0,910.0,172566,6.0
9,corridor,5min~10min,Banwoldang,0.0,3.0,2.0,108.0,2014.0,2.0,288.0,99823,1.0
10,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986.0,4.0,1131.0,211504,29.0
11,terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014.0,9.0,843.0,305309,1.0
12,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005.0,7.0,572.0,145132,10.0
13,terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009.0,5.0,1160.0,209734,6.0
14,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993.0,4.0,644.0,168141,22.0
15,terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013.0,7.0,644.0,144752,2.0
16,terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013.0,7.0,910.0,389380,2.0
17,terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007.0,5.0,1334.0,347787,8.0
18,terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013.0,7.0,910.0,263345,2.0
19,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005.0,7.0,914.0,207079,10.0
20,terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013.0,7.0,644.0,149274,2.0
21,terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008.0,8.0,829.0,200000,7.0
22,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993.0,4.0,644.0,85132,22.0
23,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005.0,7.0,743.0,245132,10.0
24,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007.0,10.0,868.0,256637,8.0
25,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006.0,5.0,910.0,207964,9.0
26,terraced,0-5min,Banwoldang,0.0,0.0,0.0,203.0,2014.0,10.0,914.0,371681,1.0
27,terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007.0,5.0,1629.0,442477,8.0
28,terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007.0,5.0,1690.0,435398,8.0
29,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005.0,7.0,572.0,75920,10.0
30,terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007.0,5.0,1273.0,280530,8.0
31,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993.0,4.0,914.0,207964,22.0
32,terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007.0,5.0,1483.0,371681,8.0
33,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993.0,4.0,914.0,163716,22.0
34,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005.0,7.0,914.0,263716,10.0
